stat6,region,assigned_by,Suggested_Change,Anne_Region,ADF.G_Region,Notes,final
0,NA,AB (Groundfish-Salmon),0,NA,NA,"FISHERY_GROUPs = H, S, I. Lots of harvest. Inverts. Max of 100K pounds since 1985",NA
51,NA,AB (Groundfish-Salmon),51,,4,Default statistical areas - reference NMFS Reporting Areas. Lots of harvest.,NA
52,NA,AB (Groundfish-Salmon),52,,4,Default statistical areas - reference NMFS Reporting Areas,NA
140,SEAK Outside,AB (IPHC),NA,,NA,,SEAK Outside
141,SEAK Outside,AB (IPHC),NA,,NA,,SEAK Outside
142,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
143,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
144,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
150,SEAK Outside,AB (IPHC),NA,,NA,,SEAK Outside
151,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
152,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
153,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
160,SEAK Outside,AB (IPHC),NA,,NA,,SEAK Outside
161,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
162,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
163,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
170,SEAK Outside,AB (IPHC),NA,,NA,,SEAK Outside
171,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
172,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
173,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
174,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
181,SEAK Outside,AB (IPHC),NA,,NA,,SEAK Outside
182,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
183,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
184,SEAK Inside,AB (IPHC),NA,,NA,,SEAK Inside
185,SEAK Outside,AB (IPHC),NA,,NA,,SEAK Outside
190,Yakutat,AB (IPHC),NA,,NA,,Yakutat
200,Yakutat,AB (IPHC),NA,,NA,,Yakutat
210,Yakutat,AB (IPHC),NA,,NA,,Yakutat
220,Yakutat,AB (IPHC),NA,,NA,,Yakutat
