"STAT_AREA" "GNMFSAREA"
"0" "435600" "640"
"1" "435630" "640"
"2" "435700" "640"
"3" "435730" "640"
"4" "435800" "640"
"5" "435830" "640"
"6" "435900" "640"
"7" "435931" "640"
"8" "435932" "640"
"9" "445600" "640"
"10" "445630" "640"
"11" "445700" "640"
"12" "445730" "640"
"13" "445800" "640"
"14" "445830" "640"
"15" "445900" "640"
"16" "445931" "640"
"17" "445932" "640"
"18" "446001" "640"
"19" "446002" "640"
"20" "446003" "640"
"21" "455600" "640"
"22" "455630" "640"
"23" "455700" "640"
"24" "455730" "640"
"25" "455800" "640"
"26" "455830" "640"
"27" "455900" "640"
"28" "455930" "640"
"29" "456001" "640"
"30" "456002" "640"
"31" "456003" "640"
"32" "456004" "640"
"33" "456031" "649"
"34" "456032" "649"
"35" "465530" "640"
"36" "465600" "640"
"37" "465630" "640"
"38" "465700" "640"
"39" "465730" "640"
"40" "465800" "640"
"41" "465830" "640"
"42" "465901" "640"
"43" "465902" "640"
"44" "465903" "640"
"45" "465904" "640"
"46" "465931" "640"
"47" "465932" "640"
"48" "465933" "640"
"49" "466001" "640"
"50" "466002" "640"
"51" "466003" "649"
"52" "466004" "640"
"53" "466005" "640"
"54" "466031" "649"
"55" "466032" "649"
"56" "466033" "649"
"57" "466100" "649"
"58" "475500" "630"
"59" "475530" "630"
"60" "475600" "630"
"61" "475630" "630"
"62" "475700" "630"
"63" "475730" "630"
"64" "475800" "630"
"65" "475830" "630"
"66" "475900" "630"
"67" "475931" "630"
"68" "475932" "630"
"69" "475933" "649"
"70" "475934" "630"
"71" "476001" "630"
"72" "476002" "630"
"73" "476003" "649"
"74" "476004" "649"
"75" "476005" "649"
"76" "476006" "649"
"77" "476007" "649"
"78" "476008" "649"
"79" "476009" "649"
"80" "476031" "649"
"81" "476032" "649"
"82" "476033" "649"
"83" "476034" "649"
"84" "476035" "649"
"85" "476036" "649"
"86" "476101" "649"
"87" "476102" "649"
"88" "485430" "630"
"89" "485500" "630"
"90" "485530" "630"
"91" "485600" "630"
"92" "485630" "630"
"93" "485700" "630"
"94" "485730" "630"
"95" "485800" "630"
"96" "485831" "630"
"97" "485832" "630"
"98" "485901" "630"
"99" "485902" "630"
"100" "485931" "630"
"101" "485932" "649"
"102" "485933" "630"
"103" "485934" "630"
"104" "485935" "630"
"105" "486001" "649"
"106" "486002" "630"
"107" "486003" "649"
"108" "486004" "649"
"109" "486005" "649"
"110" "486031" "649"
"111" "486032" "649"
"112" "486033" "649"
"113" "486034" "649"
"114" "486100" "649"
"115" "495400" "630"
"116" "495430" "630"
"117" "495500" "630"
"118" "495530" "630"
"119" "495600" "630"
"120" "495630" "630"
"121" "495700" "630"
"122" "495730" "630"
"123" "495800" "630"
"124" "495831" "630"
"125" "495832" "630"
"126" "495901" "630"
"127" "495902" "630"
"128" "495931" "630"
"129" "495932" "630"
"130" "495933" "630"
"131" "495934" "630"
"132" "495935" "630"
"133" "495936" "630"
"134" "495937" "630"
"135" "495938" "630"
"136" "495939" "630"
"137" "496001" "630"
"138" "496002" "630"
"139" "496030" "630"
"140" "496100" "630"
"141" "505330" "630"
"142" "505400" "630"
"143" "505430" "630"
"144" "505500" "630"
"145" "505530" "630"
"146" "505600" "630"
"147" "505630" "630"
"148" "505700" "630"
"149" "505730" "630"
"150" "505800" "630"
"151" "505831" "630"
"152" "505832" "630"
"153" "505901" "630"
"154" "505902" "630"
"155" "505903" "630"
"156" "505904" "630"
"157" "505905" "630"
"158" "505906" "630"
"159" "505907" "630"
"160" "505908" "630"
"161" "505909" "630"
"162" "505931" "630"
"163" "505932" "630"
"164" "505933" "630"
"165" "505934" "630"
"166" "506030" "630"
"167" "506100" "630"
"168" "515300" "630"
"169" "515330" "630"
"170" "515400" "630"
"171" "515430" "630"
"172" "515500" "630"
"173" "515530" "630"
"174" "515600" "630"
"175" "515630" "630"
"176" "515700" "630"
"177" "515730" "630"
"178" "515801" "630"
"179" "515802" "630"
"180" "515831" "630"
"181" "515832" "630"
"182" "515833" "630"
"183" "515901" "630"
"184" "515902" "630"
"185" "515903" "630"
"186" "515904" "630"
"187" "515905" "630"
"188" "515906" "630"
"189" "515907" "630"
"190" "515908" "630"
"191" "515931" "630"
"192" "515932" "630"
"193" "515933" "630"
"194" "515934" "630"
"195" "515935" "630"
"196" "515936" "630"
"197" "515937" "630"
"198" "515938" "630"
"199" "515939" "630"
"200" "516001" "630"
"201" "516002" "630"
"202" "516030" "630"
"203" "516100" "630"
"204" "525230" "630"
"205" "525300" "630"
"206" "525330" "630"
"207" "525400" "630"
"208" "525430" "630"
"209" "525500" "630"
"210" "525530" "630"
"211" "525600" "630"
"212" "525630" "630"
"213" "525701" "630"
"214" "525702" "630"
"215" "525703" "630"
"216" "525731" "630"
"217" "525732" "630"
"218" "525733" "630"
"219" "525801" "630"
"220" "525802" "630"
"221" "525803" "630"
"222" "525804" "630"
"223" "525805" "630"
"224" "525806" "630"
"225" "525807" "630"
"226" "525831" "630"
"227" "525832" "630"
"228" "525833" "630"
"229" "525834" "630"
"230" "525835" "630"
"231" "525836" "630"
"232" "525837" "630"
"233" "525901" "630"
"234" "525902" "630"
"235" "525931" "630"
"236" "525932" "630"
"237" "526002" "630"
"238" "526003" "630"
"239" "526030" "630"
"240" "535230" "630"
"241" "535300" "630"
"242" "535330" "630"
"243" "535400" "630"
"244" "535430" "630"
"245" "535500" "630"
"246" "535530" "630"
"247" "535601" "630"
"248" "535602" "630"
"249" "535631" "630"
"250" "535632" "630"
"251" "535633" "630"
"252" "535634" "630"
"253" "535635" "630"
"254" "535701" "630"
"255" "535702" "630"
"256" "535703" "630"
"257" "535704" "630"
"258" "535705" "630"
"259" "535706" "630"
"260" "535707" "630"
"261" "535731" "630"
"262" "535732" "630"
"263" "535733" "630"
"264" "535734" "630"
"265" "535801" "630"
"266" "535802" "630"
"267" "535803" "630"
"268" "535831" "630"
"269" "535832" "630"
"270" "535833" "630"
"271" "535834" "630"
"272" "535901" "630"
"273" "535902" "630"
"274" "535903" "630"
"275" "535904" "630"
"276" "535905" "630"
"277" "535906" "630"
"278" "535931" "630"
"279" "535932" "630"
"280" "535933" "630"
"281" "545200" "620"
"282" "545230" "620"
"283" "545300" "620"
"284" "545330" "620"
"285" "545400" "620"
"286" "545430" "620"
"287" "545500" "620"
"288" "545530" "620"
"289" "545601" "620"
"290" "545602" "620"
"291" "545631" "620"
"292" "545632" "620"
"293" "545633" "620"
"294" "545701" "620"
"295" "545702" "620"
"296" "545703" "620"
"297" "545704" "620"
"298" "545731" "620"
"299" "545732" "620"
"300" "545733" "620"
"301" "545734" "620"
"302" "545801" "620"
"303" "545802" "620"
"304" "545803" "620"
"305" "545804" "620"
"306" "545900" "630"
"307" "555200" "620"
"308" "555230" "620"
"309" "555300" "620"
"310" "555330" "620"
"311" "555400" "620"
"312" "555430" "620"
"313" "555500" "620"
"314" "555531" "620"
"315" "555532" "620"
"316" "555600" "620"
"317" "555630" "620"
"318" "555701" "620"
"319" "555702" "620"
"320" "555731" "620"
"321" "555732" "620"
"322" "555733" "620"
"323" "565131" "620"
"324" "565132" "620"
"325" "565201" "620"
"326" "565202" "620"
"327" "565231" "620"
"328" "565232" "620"
"329" "565301" "620"
"330" "565302" "620"
"331" "565331" "620"
"332" "565332" "620"
"333" "565333" "620"
"334" "565401" "620"
"335" "565402" "620"
"336" "565403" "620"
"337" "565431" "620"
"338" "565432" "620"
"339" "565501" "620"
"340" "565502" "620"
"341" "565531" "620"
"342" "565533" "620"
"343" "565534" "620"
"344" "565602" "620"
"345" "565603" "620"
"346" "565604" "620"
"347" "565632" "620"
"348" "565633" "620"
"349" "565634" "620"
"350" "565635" "620"
"351" "565702" "620"
"352" "565703" "620"
"353" "565704" "620"
"354" "575131" "620"
"355" "575132" "620"
"356" "575201" "620"
"357" "575202" "620"
"358" "575231" "620"
"359" "575232" "620"
"360" "575301" "620"
"361" "575302" "620"
"362" "575331" "620"
"363" "575332" "620"
"364" "575401" "620"
"365" "575402" "620"
"366" "575403" "620"
"367" "575404" "620"
"368" "575431" "620"
"369" "575432" "620"
"370" "575433" "620"
"371" "575501" "620"
"372" "575502" "620"
"373" "575531" "620"
"374" "575532" "620"
"375" "575601" "620"
"376" "575603" "620"
"377" "575604" "620"
"378" "575605" "620"
"379" "575632" "620"
"380" "575633" "620"
"381" "575634" "620"
