stat6,region,assigned_by
140,SEAK Outside,AB (IPHC)
141,SEAK Outside,AB (IPHC)
142,SEAK Inside,AB (IPHC)
143,SEAK Inside,AB (IPHC)
144,SEAK Inside,AB (IPHC)
150,SEAK Outside,AB (IPHC)
151,SEAK Inside,AB (IPHC)
152,SEAK Inside,AB (IPHC)
153,SEAK Inside,AB (IPHC)
160,SEAK Outside,AB (IPHC)
161,SEAK Inside,AB (IPHC)
162,SEAK Inside,AB (IPHC)
163,SEAK Inside,AB (IPHC)
170,SEAK Outside,AB (IPHC)
171,SEAK Inside,AB (IPHC)
172,SEAK Inside,AB (IPHC)
173,SEAK Inside,AB (IPHC)
174,SEAK Inside,AB (IPHC)
181,SEAK Outside,AB (IPHC)
182,SEAK Inside,AB (IPHC)
183,SEAK Inside,AB (IPHC)
184,SEAK Inside,AB (IPHC)
185,SEAK Outside,AB (IPHC)
190,Yakutat,AB (IPHC)
200,Yakutat,AB (IPHC)
210,Yakutat,AB (IPHC)
220,Yakutat,AB (IPHC)
230,PWS,AB (IPHC)
231,PWS,AB (IPHC)
232,PWS,AB (IPHC)
240,PWS,AB (IPHC)
241,PWS,AB (IPHC)
242,PWS,AB (IPHC)
250,Cook Inlet,AB (IPHC)
251,Cook Inlet,AB (IPHC)
260,Cook Inlet,AB (IPHC)
261,Cook Inlet,AB (IPHC)
270,Kodiak,AB (IPHC)
271,Kodiak,AB (IPHC)
272,Kodiak,AB (IPHC)
280,Kodiak,AB (IPHC)
281,Kodiak,AB (IPHC)
290,Kodiak,AB (IPHC)
291,Kodiak,AB (IPHC)
300,Alaska Peninsula,AB (IPHC)
310,Alaska Peninsula,AB (IPHC)
320,Alaska Peninsula,AB (IPHC)
330,Alaska Peninsula,AB (IPHC)
340,Alaska Peninsula,AB (IPHC)
350,Alaska Peninsula,AB (IPHC)
360,Eastern Aleutians,AB (IPHC)
370,Eastern Aleutians,AB (IPHC)
380,Eastern Aleutians,AB (IPHC)
390,Eastern Aleutians,AB (IPHC)
395,Eastern Aleutians,AB (IPHC)
400,Western Aleutians,AB (IPHC)
410,Western Aleutians,AB (IPHC)
420,Western Aleutians,AB (IPHC)
430,Western Aleutians,AB (IPHC)
440,Western Aleutians,AB (IPHC)
450,Western Aleutians,AB (IPHC)
460,Western Aleutians,AB (IPHC)
470,Western Aleutians,AB (IPHC)
480,Western Aleutians,AB (IPHC)
490,Western Aleutians,AB (IPHC)
500,Western Aleutians,AB (IPHC)
513,Western Aleutians,AB (IPHC)
515,Western Aleutians,AB (IPHC)
517,Western Aleutians,AB (IPHC)
518,Western Aleutians,AB (IPHC)
519,Western Aleutians,AB (IPHC)
521,Western Aleutians,AB (IPHC)
523,Western Aleutians,AB (IPHC)
530,Western Aleutians,AB (IPHC)
10110,SEAK Inside,AB (Groundfish-Salmon)
10111,SEAK Inside,AB (Groundfish-Salmon)
10113,SEAK Inside,AB (Groundfish-Salmon)
10115,SEAK Inside,AB (Groundfish-Salmon)
10121,SEAK Inside,AB (Groundfish-Salmon)
10122,SEAK Inside,AB (Groundfish-Salmon)
10123,SEAK Inside,AB (Groundfish-Salmon)
10124,SEAK Inside,AB (Groundfish-Salmon)
10125,SEAK Inside,AB (Groundfish-Salmon)
10126,SEAK Inside,AB (Groundfish-Salmon)
10127,SEAK Inside,AB (Groundfish-Salmon)
10128,SEAK Inside,AB (Groundfish-Salmon)
10129,SEAK Inside,AB (Groundfish-Salmon)
10130,SEAK Inside,AB (Groundfish-Salmon)
10140,SEAK Inside,AB (Groundfish-Salmon)
10141,SEAK Inside,AB (Groundfish-Salmon)
10142,SEAK Inside,AB (Groundfish-Salmon)
10143,SEAK Inside,AB (Groundfish-Salmon)
10144,SEAK Inside,AB (Groundfish-Salmon)
10145,SEAK Inside,AB (Groundfish-Salmon)
10146,SEAK Inside,AB (Groundfish-Salmon)
10147,SEAK Inside,AB (Groundfish-Salmon)
10148,SEAK Inside,AB (Groundfish-Salmon)
10151,SEAK Inside,AB (Groundfish-Salmon)
10153,SEAK Inside,AB (Groundfish-Salmon)
10155,SEAK Inside,AB (Groundfish-Salmon)
10160,SEAK Inside,AB (Groundfish-Salmon)
10171,SEAK Inside,AB (Groundfish-Salmon)
10173,SEAK Inside,AB (Groundfish-Salmon)
10175,SEAK Inside,AB (Groundfish-Salmon)
10177,SEAK Inside,AB (Groundfish-Salmon)
10180,SEAK Inside,AB (Groundfish-Salmon)
10185,SEAK Inside,AB (Groundfish-Salmon)
10190,SEAK Inside,AB (Groundfish-Salmon)
10195,SEAK Inside,AB (Groundfish-Salmon)
10200,SEAK Inside,EW
10209,SEAK Inside,EW
10210,SEAK Inside,AB (Groundfish-Salmon)
10215,SEAK Inside,AB (Groundfish-Salmon)
10220,SEAK Inside,AB (Groundfish-Salmon)
10230,SEAK Inside,AB (Groundfish-Salmon)
10240,SEAK Inside,AB (Groundfish-Salmon)
10250,SEAK Inside,AB (Groundfish-Salmon)
10260,SEAK Inside,AB (Groundfish-Salmon)
10270,SEAK Inside,AB (Groundfish-Salmon)
10280,SEAK Inside,AB (Groundfish-Salmon)
10300,SEAK Inside,EW
10311,SEAK Inside,AB (Groundfish-Salmon)
10315,SEAK Inside,AB (Groundfish-Salmon)
10321,SEAK Inside,AB (Groundfish-Salmon)
10323,SEAK Inside,AB (Groundfish-Salmon)
10325,SEAK Inside,AB (Groundfish-Salmon)
10330,SEAK Inside,AB (Groundfish-Salmon)
10340,SEAK Inside,AB (Groundfish-Salmon)
10350,SEAK Inside,AB (Groundfish-Salmon)
10360,SEAK Inside,AB (Groundfish-Salmon)
10365,SEAK Inside,AB (Groundfish-Salmon)
10370,SEAK Inside,AB (Groundfish-Salmon)
10380,SEAK Inside,AB (Groundfish-Salmon)
10390,SEAK Inside,AB (Groundfish-Salmon)
10400,SEAK Inside,EW
10410,SEAK Inside,AB (Groundfish-Salmon)
10420,SEAK Inside,AB (Groundfish-Salmon)
10430,SEAK Inside,AB (Groundfish-Salmon)
10435,SEAK Inside,AB (Groundfish-Salmon)
10440,SEAK Inside,AB (Groundfish-Salmon)
10450,SEAK Inside,AB (Groundfish-Salmon)
10500,SEAK Inside,EW
10510,SEAK Inside,AB (Groundfish-Salmon)
10520,SEAK Inside,AB (Groundfish-Salmon)
10531,SEAK Inside,AB (Groundfish-Salmon)
10532,SEAK Inside,AB (Groundfish-Salmon)
10541,SEAK Inside,AB (Groundfish-Salmon)
10542,SEAK Inside,AB (Groundfish-Salmon)
10543,SEAK Inside,AB (Groundfish-Salmon)
10550,SEAK Inside,AB (Groundfish-Salmon)
10600,SEAK Inside,EW
10610,SEAK Inside,AB (Groundfish-Salmon)
10620,SEAK Inside,AB (Groundfish-Salmon)
10622,SEAK Inside,AB (Groundfish-Salmon)
10625,SEAK Inside,AB (Groundfish-Salmon)
10630,SEAK Inside,AB (Groundfish-Salmon)
10635,SEAK Inside,AB (Groundfish-Salmon)
10641,SEAK Inside,AB (Groundfish-Salmon)
10642,SEAK Inside,AB (Groundfish-Salmon)
10643,SEAK Inside,AB (Groundfish-Salmon)
10644,SEAK Inside,AB (Groundfish-Salmon)
10700,SEAK Inside,EW
