SPECN,SPECIES_COMMON,SPECIES_SCIENTIFIC,NCEAS_CATEGORY,PACFIN_SPID_CODE,NCEAS_SPID_CODE (SPEC),group1,COMMENTS
100,"groundfish, general",Multiple families,Other groundfish,UGRN,OTHER,fish,
101,waste fish (from trawl shrimp fishing),Multiple families,Other groundfish,,OTHER,fish,
110,"cod, Pacific (gray)",Gadus macrocephalus,Pacific cod,PCOD,PCOD,fish,
112,Pacific hake,Merluccius productus,Other,,OTHER,fish,
116,Bering flounder,Hippoglossoides robustus,Shallow flatfish,,FLAT.shallow,fish,
117,Kamchatka flounder,Atheresthes evermanni,Shallow flatfish,,FLAT.shallow,fish,
118,"flatfish, deep water","dover sole, greenland turbot, deepsea sole",Deep flatfish,DFLT,FLAT.deep,fish,"Established by NMFS - effective 1991/1992.  1991- dover, flathead and rex.  1992 - turbot, dover, rex."
119,"flatfish, shallow water","rock sole, yellowfin sole, starry flounder, butter sole",Shallow flatfish,SFLT,FLAT.shallow,fish,"Established by NMFS - effective 1991/1992.  All flatfish except halibut, arrowtooth flounder those species identified  in code 118."
120,"flounder, general",family Pleuronectidae,Other flatfish,UFLT,UFLT,fish,
121,"flounder, arrowtooth",Reinhardtius stomias,Arrowtooth flounder,ARTH,ARTH,fish,
122,"sole, flathead",Hippoglossoides elassodon,Shallow flatfish,FSOL,FLAT.shallow,fish,
123,"sole, rock",Paraplagusia bilineata,Shallow flatfish,RSOL,FLAT.shallow,fish,
124,"sole, dover",Microstomus pacificus,Deep flatfish,DOVR,FLAT.deep,fish,
125,"sole, rex",Glyptocephalus zachirus,Shallow flatfish,REX,FLAT.shallow,fish,
126,"sole, butter",Isopsetta isolepis,Shallow flatfish,BSOL,FLAT.shallow,fish,
127,"sole, yellowfin",Limanda aspera,Shallow flatfish,YSOL,FLAT.shallow,fish,
128,"sole, English",Paraphrys vetulus,Shallow flatfish,EGLS,FLAT.shallow,fish,
129,"flounder, starry",Platichthys stellatus,Shallow flatfish,STAR,FLAT.shallow,fish,
130,lingcod,Ophiodon elongatus,Lingcod,LCOD,LCOD,fish,
131,"sole, petrale",Eopsetta jordani,Shallow flatfish,PTRL,FLAT.shallow,fish,
132,"sole, sand",Psettichthys melanostictus,Shallow flatfish,SSOL,FLAT.shallow,fish,
133,"flounder, Alaska plaice",Pleuronectes quadrituberculatus,Shallow flatfish,APLC,FLAT.shallow,fish,
134,"turbot, Greenland",Reinhardtius hippoglossoides,Deep flatfish,GTRB,FLAT.deep,fish,
135,"rockfish, greenstripe",Sebastes elongatus,Demersal rockfish,GSRK,ROCK.demersal,fish,
136,"rockfish, northern",Sebastes polyspinis,Slope rockfish,NRCK,ROCK.slope,fish,
137,"rockfish, bocaccio",Sebastes paucispinis,Slope rockfish,BCAC,ROCK.slope,fish,
138,"rockfish, copper",Sebastes caurinus,Demersal rockfish,COPP,ROCK.demersal,fish,
139,"rockfish, other",Sebastes unspecified,Demersal rockfish,URCK,ROCK.demersal,fish,
140,"rockfish, red",genus Sebastes - species undetermined,Demersal rockfish,RCK4,ROCK.demersal,fish,
141,"perch, Pacific ocean",Sebastes alutus,Slope rockfish,POP,ROCK.slope,fish,
142,"rockfish, black",Sebastes melanops,Pelagic rockfish,BLCK,ROCK.pelagic,fish,
143,"rockfish, thornyhead (idiots)",genus Sebastolobus,Slope rockfish,THDS,ROCK.slope,fish,
144,"rockfish, unspecified slope","POP (141), northern (136), rougheye (151), sharpchin (166), shortraker (152), redbanded (153), bocaccio (137), redstripe (158), slivergrey (157)",Slope rockfish,USLR,ROCK.slope,fish,NMFS group code - State requires individual rockfish identification/documentation on fish tickets.     Slope assemblage - as defined by Region I.
145,"rockfish, yelloweye (red snapper)",Sebastes ruberrimus,Demersal rockfish,YEYE,ROCK.demersal,fish,
146,"rockfish, canary",Sebastes pinniger,Demersal rockfish,CNRY,ROCK.demersal,fish,
147,"rockfish, quillback",Sebastes maliger,Demersal rockfish,QLBK,ROCK.demersal,fish,
148,"rockfish, tiger",Sebastes nigrocinctus,Demersal rockfish,TIGR,ROCK.demersal,fish,
149,"rockfish, china",Sebastes nebulosus,Demersal rockfish,CHNA,ROCK.demersal,fish,
150,"rockfish, rosethorn",Sebastes helvomaculatus,Demersal rockfish,RSTN,ROCK.demersal,fish,
151,"rockfish, rougheye",Sebastes aleutianus,Slope rockfish,REYE,ROCK.slope,fish,
152,"rockfish, shortraker",Sebastes borealis,Slope rockfish,SRKR,ROCK.slope,fish,
153,"rockfish, redbanded",Sebastes babcocki,Slope rockfish,RDBD,ROCK.slope,fish,
154,"rockfish, dusky",Sebastes ciliatus,Pelagic rockfish,DUSK,ROCK.pelagic,fish,
155,"rockfish, yellowtail",Sebastes flavidus,Pelagic rockfish,YTRK,ROCK.pelagic,fish,
156,"rockfish, widow",Sebastes entomelas,Pelagic rockfish,WDOW,ROCK.pelagic,fish,
157,"rockfish, silvergray",Sebastes brevispinis,Slope rockfish,SLGR,ROCK.slope,fish,
158,"rockfish, redstripe",Sebastes proriger,Slope rockfish,REDS,ROCK.slope,fish,
159,"rockfish, darkblotched",Sebastes crameri,Slope rockfish,DBRK,ROCK.slope,fish,
160,"sculpin, general",family Cottidae,Sculpins,SCLP,SCLP,fish,
161,"sculpin, coastrange",Cottus aleuticus,Sculpins,,SCLP,fish,
162,"sculpin, slimy",Cottus cognatus,Sculpins,,SCLP,fish,
163,"sculpin, fourhorn",Myoxocephalus quadricornis,Sculpins,,SCLP,fish,
164,"sculpin, prickly",Cottus asper,Sculpins,,SCLP,fish,
165,"sculpin, riffle",Cottus gulosus,Sculpins,,SCLP,fish,
166,"rockfish, sharpchin",Sebastes zacentrus,Slope rockfish,SHRP,ROCK.slope,fish,
167,"rockfish, blue",Sebastes mystinus,Pelagic rockfish,BLUR,ROCK.pelagic,fish,
168,"rockfish, unspecified demersal","canary (146), China (149), copper (138), quillback (147), rosethorn (150), tiger (148), yelloweye (145)",Demersal rockfish,UDSR,ROCK.demersal,fish,NMFS group code - State requires individual rockfish identification/documentation on fish tickets.      DSR assemblage - as defined by Region I.
169,"rockfish, unspecified pelagic","black (142), blue (167), dusky (154)(172,173), widow (156), yellowtail (155)",Pelagic rockfish,UPLG,ROCK.pelagic,fish,NMFS group code - State requires individual rockfish identific
170,"sardine, Pacific (pilchard)",Sardinops sagax,Other,PSDN,OTHER,fish,
171,"rockfish, shortraker/rougheye",Sebastes aleutianus/Sebastes borealis group code,Demersal rockfish,UDW1,ROCK.demersal,fish,NMFS group code - State requires individual rockfish identification/documentation on fish tickets.
172,"rockfish, dusky",Sebastes variabilis,Pelagic rockfish,,ROCK.pelagic,fish,
173,"rockfish, dark",Sebastes ciliatus,Pelagic rockfish,,ROCK.pelagic,fish,
175,"rockfish, yellowmouth",Sebastes reedi,Demersal rockfish,YMTH,ROCK.demersal,fish,
176,"rockfish, harlequin",Sebastes variegatus,Slope rockfish,HLQN,ROCK.slope,fish,
177,"rockfish, blackgill",Sebastes melanostomus,Slope rockfish,BLGL,ROCK.slope,fish,
178,"rockfish, chilipepper",Sebastes goodei,Demersal rockfish,CLPR,ROCK.demersal,fish,
179,"rockfish, pygmy",Sebastes wilsoni,Slope rockfish,PGMY,ROCK.slope,fish,
180,"shad, American",Alosa sapidissima,Other,SHAD,OTHER,fish,
181,"rockfish, shortbelly",Sebastes jordani,Slope rockfish,SBLY,ROCK.slope,fish,
182,"rockfish, splitnose",Sebastes diploproa,Slope rockfish,SNOS,ROCK.slope,fish,
183,"rockfish, stripetail",Sebastes saxicola,Slope rockfish,STRK,ROCK.slope,fish,
184,"rockfish, vermilion",Sebastes miniatus,Slope rockfish,VRML,ROCK.slope,fish,
185,"rockfish, aurora",Sebastes aurora,Slope rockfish,ARRA,ROCK.slope,fish,
190,"greenling, general",genus Hexagrammidae,Greenling,,OTHER,fish,
191,"greenling, rock",Hexagrammos  lagocephalus,Greenling,RCKG,OTHER,fish,
192,"greenling, whitespot",Hexagrammos stelleri,Greenling,,OTHER,fish,
193,"greenling, atka mackerel",Pleurogrammus monopterygius,Atka mackerel,AMCK,AMCK,fish,
194,"greenling, kelp",Hexagrammos decagrammus,Greenling,KLPG,OTHER,fish,
200,"halibut, Pacific",Hippoglossus stenolepis,Pacific halibut,PHLB,PHLB,fish,
206,Pacific sand fish,family Trichodontidae,Other,,OTHER,fish,Forage fish group
207,gunnels,family Pholidae,Other,,OTHER,fish,Forage fish group
208,"prickleback, warbonnet, ellblenny, cockscome, shanny",family Stichaeidae,Other,,OTHER,fish,Forage fish group
209,"bristlemouth, lightfish, anglemouth",family Gonostomatidae,Other,,OTHER,fish,Forage fish group
210,eels or eel-like fish,family Zoarcidae,Other,EELS,OTHER,fish,
