YEAR,min.vessel,max.vessel,N,AREA
1994,-9999,-9999,12,2C
1994,0,25,226,2C
1994,26,30,92,2C
1994,31,35,175,2C
1994,36,40,326,2C
1994,41,45,246,2C
1994,46,50,176,2C
1994,51,55,76,2C
1994,56,1000,155,2C
1993,-9999,-9999,10,2C
1993,0,25,295,2C
1993,26,30,122,2C
1993,31,35,205,2C
1993,36,40,344,2C
1993,41,45,220,2C
1993,46,50,173,2C
1993,51,55,73,2C
1993,56,1000,135,2C
1992,-9999,-9999,15,2C
1992,0,25,386,2C
1992,26,30,141,2C
1992,31,35,231,2C
1992,36,40,364,2C
1992,41,45,230,2C
1992,46,50,177,2C
1992,51,55,72,2C
1992,56,1000,159,2C
1991,-9999,-9999,29,2C
1991,0,25,374,2C
1991,26,30,161,2C
1991,31,35,252,2C
1991,36,40,423,2C
1991,41,45,220,2C
1991,46,50,168,2C
1991,51,55,63,2C
1991,56,1000,113,2C
1990,-9999,-9999,26,2C
1990,0,25,308,2C
1990,26,30,132,2C
1990,31,35,222,2C
1990,36,40,367,2C
1990,41,45,181,2C
1990,46,50,124,2C
1990,51,55,47,2C
1990,56,1000,81,2C
1988,-9999,-9999,30,2C
1988,0,25,412,2C
1988,26,30,162,2C
1988,31,35,257,2C
1988,36,40,356,2C
1988,41,45,183,2C
1988,46,50,131,2C
1988,51,55,57,2C
1988,56,1000,92,2C
1994,-9999,-9999,15,3A
1994,0,25,152,3A
1994,26,30,76,3A
1994,31,35,222,3A
1994,36,40,298,3A
1994,41,45,247,3A
1994,46,50,150,3A
1994,51,55,105,3A
1994,56,1000,451,3A
1993,-9999,-9999,14,3A
1993,0,25,146,3A
1993,26,30,85,3A
1993,31,35,202,3A
1993,36,40,281,3A
1993,41,45,210,3A
1993,46,50,133,3A
1993,51,55,91,3A
1993,56,1000,367,3A
1992,-9999,-9999,20,3A
1992,0,25,233,3A
1992,26,30,143,3A
1992,31,35,261,3A
1992,36,40,324,3A
1992,41,45,232,3A
1992,46,50,179,3A
1992,51,55,102,3A
1992,56,1000,428,3A
1991,-9999,-9999,28,3A
1991,0,25,262,3A
1991,26,30,188,3A
1991,31,35,327,3A
1991,36,40,401,3A
1991,41,45,287,3A
1991,46,50,210,3A
1991,51,55,119,3A
1991,56,1000,409,3A
1990,-9999,-9999,48,3A
1990,0,25,327,3A
1990,26,30,177,3A
1990,31,35,372,3A
1990,36,40,431,3A
1990,41,45,269,3A
1990,46,50,208,3A
1990,51,55,98,3A
1990,56,1000,427,3A
1988,-9999,-9999,40,3A
1988,0,25,343,3A
1988,26,30,169,3A
1988,31,35,358,3A
1988,36,40,371,3A
1988,41,45,187,3A
1988,46,50,153,3A
1988,51,55,77,3A
1988,56,1000,293,3A
1994,-9999,-9999,1,3B
1994,0,25,4,3B
1994,26,30,1,3B
1994,31,35,26,3B
1994,36,40,54,3B
1994,41,45,53,3B
1994,46,50,58,3B
1994,51,55,22,3B
1994,56,1000,101,3B
1993,-9999,-9999,2,3B
1993,0,25,5,3B
1993,26,30,1,3B
1993,31,35,46,3B
1993,36,40,66,3B
1993,41,45,55,3B
1993,46,50,58,3B
1993,51,55,19,3B
1993,56,1000,148,3B
1992,-9999,-9999,2,3B
1992,0,25,8,3B
1992,26,30,2,3B
1992,31,35,68,3B
1992,36,40,80,3B
1992,41,45,60,3B
1992,46,50,63,3B
1992,51,55,32,3B
1992,56,1000,163,3B
1991,-9999,-9999,4,3B
1991,0,25,1,3B
1991,26,30,6,3B
1991,31,35,74,3B
1991,36,40,107,3B
1991,41,45,90,3B
1991,46,50,78,3B
1991,51,55,38,3B
1991,56,1000,194,3B
1990,-9999,-9999,4,3B
1990,0,25,5,3B
1990,26,30,3,3B
1990,31,35,46,3B
1990,36,40,72,3B
1990,41,45,41,3B
1990,46,50,57,3B
1990,51,55,25,3B
1990,56,1000,130,3B
1988,-9999,-9999,6,3B
1988,0,25,12,3B
1988,26,30,5,3B
1988,31,35,29,3B
1988,36,40,42,3B
1988,41,45,39,3B
1988,46,50,41,3B
1988,51,55,15,3B
1988,56,1000,96,3B
