p_fshy,description,pfshy_species,pfshy_gear,pfshy_area
A11A,"ABALONE , DIVING GEAR, SOUTHEAST",abalone, diving gear, southeast
B05B,"HALIBUT , HAND TROLL, STATEWIDE",halibut, hand troll, statewide
B06B,"HALIBUT , LONGLINE VESSEL UNDER 60', STATEWIDE",halibut, longline vessel under 60', statewide
B25B,"HALIBUT , DINGLEBAR TROLL, STATEWIDE",halibut, dinglebar troll, statewide
B26B,"HALIBUT , MECHANICAL JIG, STATEWIDE",halibut, mechanical jig, statewide
B61B,"HALIBUT , LONGLINE VESSEL 60' OR OVER, STATEWIDE",halibut, longline vessel 60' or over, statewide
C06B,"SABLEFISH , LONGLINE VESSEL UNDER 60', STATEWIDE",sablefish, longline vessel under 60', statewide
C07B,"SABLEFISH , OTTER TRAWL, STATEWIDE",sablefish, otter trawl, statewide
C09B,"SABLEFISH , POT GEAR VESSEL UNDER 60', STATEWIDE",sablefish, pot gear vessel under 60', statewide
C25B,"SABLEFISH , DINGLEBAR TROLL, STATEWIDE",sablefish, dinglebar troll, statewide
C26B,"SABLEFISH , MECHANICAL JIG, STATEWIDE",sablefish, mechanical jig, statewide
C4CE,"SABLEFISH , NET GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND",sablefish, net gear maximum vessel length 50', prince william sound
C5AE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 90', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 90', prince william sound
C5BE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 60', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 60', prince william sound
C5CE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 50', prince william sound
C5DE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 35', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 35', prince william sound
C61A,"SABLEFISH , LONGLINE, NORTHERN SOUTHEAST",sablefish, longline, northern southeast
C61B,"SABLEFISH , LONGLINE VESSEL 60' OR OVER, STATEWIDE",sablefish, longline vessel 60' or over, statewide
C61C,"SABLEFISH , LONGLINE, SOUTHERN SOUTHEAST",sablefish, longline, southern southeast
C91A,"SABLEFISH , POT GEAR, NORTHERN SE-TEST ADF&G ONLY",sablefish, pot gear, northern se-test adf&g only
C91B,"SABLEFISH , POT GEAR VESSEL 60' OR OVER, STATEWIDE",sablefish, pot gear vessel 60' or over, statewide
C91C,"SABLEFISH , POT GEAR, SOUTHERN SOUTHEAST",sablefish, pot gear, southern southeast
C9CE,"SABLEFISH , POT GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND",sablefish, pot gear maximum vessel length 50', prince william sound
D09D,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', YAKUTAT",dungeness crab, pot gear vessel under 60', yakutat
D09E,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND",dungeness crab, pot gear vessel under 60', prince william sound
D09J,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', WESTWARD",dungeness crab, pot gear vessel under 60', westward
D09L,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', CHIGNIK",dungeness crab, pot gear vessel under 60', chignik
D09M,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', ALASKA PENINSULA",dungeness crab, pot gear vessel under 60', alaska peninsula
D10A,"DUNGENESS CRAB , RING NET, SOUTHEAST",dungeness crab, ring net, southeast
D10D,"DUNGENESS CRAB , RING NET, YAKUTAT",dungeness crab, ring net, yakutat
D10H,"DUNGENESS CRAB , RING NET, COOK INLET",dungeness crab, ring net, cook inlet
D11A,"DUNGENESS CRAB , DIVING GEAR, SOUTHEAST",dungeness crab, diving gear, southeast
D91D,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, YAKUTAT",dungeness crab, pot gear vessel 60' or over, yakutat
D91E,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND",dungeness crab, pot gear vessel 60' or over, prince william sound
D91H,"DUNGENESS CRAB , POT GEAR, COOK INLET",dungeness crab, pot gear, cook inlet
D91J,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, WESTWARD",dungeness crab, pot gear vessel 60' or over, westward
D91L,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, CHIGNIK",dungeness crab, pot gear vessel 60' or over, chignik
D91M,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, ALASKA PENINSULA",dungeness crab, pot gear vessel 60' or over, alaska peninsula
D9AA,"DUNGENESS CRAB , 300 POTS/OR 100% OF MAX, SOUTHEAST",dungeness crab, 300 pots/or 100% of max, southeast
D9BA,"DUNGENESS CRAB , 225 POTS/OR 75% OF MAX, SOUTHEAST",dungeness crab, 225 pots/or 75% of max, southeast
D9CA,"DUNGENESS CRAB , 150 POTS/OR 50% OF MAX, SOUTHEAST",dungeness crab, 150 pots/or 50% of max, southeast
D9DA,"DUNGENESS CRAB , 75 POTS/OR 25% OF MAX, SOUTHEAST",dungeness crab, 75 pots/or 25% of max, southeast
E09B,"HAIR CRAB , POT GEAR VESSEL UNDER 60', STATEWIDE",hair crab, pot gear vessel under 60', statewide
E09Q,"HAIR CRAB , POT GEAR VESSEL UNDER 60', BERING SEA",hair crab, pot gear vessel under 60', bering sea
E91B,"HAIR CRAB , POT GEAR VESSEL 60' OR OVER, STATEWIDE",hair crab, pot gear vessel 60' or over, statewide
E91Q,"HAIR CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA",hair crab, pot gear vessel 60' or over, bering sea
E91QV,"HAIR CRAB , POT GEAR, BERING SEA (VESSEL PERMIT)",hair crab, pot gear, bering sea (vessel permit)
F02B,"FRESH WATER FISH , BEACH SEINE, STATEWIDE",fresh water fish, beach seine, statewide
