Year,Price,Quota
1995,6.65,IFQ
1996,7.42,IFQ
1997,7.67,IFQ
1998,7.43,IFQ
1999,NA,IFQ
2000,6.2,IFQ
2001,7.42,IFQ
2002,6.78,IFQ
2003,7.24,IFQ
2004,10.28,IFQ
2005,10.96,IFQ
2006,12.37,IFQ
2007,14.65,IFQ
2008,18.3,IFQ
2009,15.74,IFQ
2010,14.76,IFQ
2011,20.32,IFQ
2012,22.69,IFQ
2013,26.23,IFQ
2014,26.34,IFQ
1995,1.15,QS
1996,0.93,QS
1997,1.43,QS
1998,1.62,QS
1999,NA,QS
2000,1.62,QS
2001,2,QS
2002,1.65,QS
2003,1.79,QS
2004,2.36,QS
2005,2.56,QS
2006,2.27,QS
2007,2.44,QS
2008,3.25,QS
2009,2.32,QS
2010,2.2,QS
2011,2.52,QS
2012,1.92,QS
2013,1.67,QS
2014,1.39,QS
