"","strategy.permit","CHNK_earn.bySpec","CHUM_earn.bySpec","COHO_earn.bySpec","DCRB_earn.bySpec","KCRB_earn.bySpec","PCOD_earn.bySpec","PHLB_earn.bySpec","PINK_earn.bySpec","PLCK_earn.bySpec","POUND_earn.bySpec","SABL_earn.bySpec","SAC_earn.bySpec","SOCK_earn.bySpec","TCRB_earn.bySpec"
"1","A11B B06B D09A",NA,NA,NA,0.62995389636847,NA,NA,0.216405465555158,NA,NA,NA,NA,NA,NA,NA
"2","A11B B06B L21A Q11B",NA,NA,NA,NA,NA,NA,0.297672922502501,NA,NA,NA,NA,0.15554813355768,NA,NA
"3","A11B B06B Q11B",NA,NA,NA,NA,NA,NA,0.158837537821302,NA,NA,NA,NA,NA,NA,NA
"4","A11B B61B",NA,NA,NA,NA,NA,NA,0.793677978454431,NA,NA,NA,NA,NA,NA,NA
"5","A11B B61B Q11B",NA,NA,NA,NA,NA,NA,0.269047130461692,NA,NA,NA,NA,NA,NA,NA
"6","A11B L21A L21C Q11B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707168476665688,NA,NA
"7","A11B L21A Q11B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280271984129528,NA,NA
"8","A11B L21C Q11B S15B",NA,NA,0.400356584491615,NA,NA,NA,NA,NA,NA,NA,NA,0.125560945861069,NA,NA
"9","A11B Q11B S05B",NA,NA,0.534836350280766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A11B Q11B S15B",0.164582224708574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","A11B S03E",NA,NA,0.106698815649409,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701857684845692,NA
"12","A11B S05B",0.232225893887147,NA,0.552503384219066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","A11B S15B",NA,NA,0.823551069733478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","A12B B06B",NA,NA,NA,NA,NA,NA,0.448559249212057,NA,NA,NA,NA,NA,NA,NA
"15","A12B B06B M05B",NA,NA,NA,NA,NA,NA,0.516511040062789,NA,NA,NA,NA,NA,NA,NA
"16","A12B B06B R23B Z12B Z99B",NA,NA,NA,NA,NA,NA,0.107558469415096,NA,NA,NA,NA,NA,NA,NA
"17","A12B B06B S05B",0.114605970627536,NA,0.310822780142727,NA,NA,NA,0.296232321318343,NA,NA,NA,NA,NA,NA,NA
"18","A12B B06B S15B",0.107144567131123,NA,0.392450112962711,NA,NA,NA,0.208284713777614,NA,NA,NA,NA,NA,NA,NA
"19","A12B B06B S15B Z12B",0.179301113843272,NA,0.285805970592152,NA,NA,NA,0.195975003143028,NA,NA,NA,NA,NA,NA,NA
"20","A12B B06B Y06A",NA,NA,NA,NA,NA,NA,0.150562126630681,NA,NA,NA,NA,NA,NA,NA
"21","A12B B06B Z12B",NA,NA,NA,NA,NA,NA,0.122123483515159,NA,NA,NA,NA,NA,NA,NA
"22","A12B B61B",NA,NA,NA,NA,NA,NA,0.592969588308569,NA,NA,NA,NA,NA,NA,NA
"23","A12B B61B C61A",NA,NA,NA,NA,NA,NA,0.252715746225401,NA,NA,NA,0.538769834913411,NA,NA,NA
