Year,Chinook,Sockeye,Coho,Pink,Chum
1977,NA,NA,NA,108173,NA
1978,NA,NA,NA,NA,2214
1979,445,NA,NA,33555,1514
1980,4388,NA,NA,500,5627
1981,1504,NA,48224,139000,3286
1982,3352,NA,83128,16568,64874
1983,1175,NA,80418,181494,199623
1984,5234,NA,138082,235694,1466670
1985,10039,NA,227701,911977,933167
1986,14219,18600,427244,116114,1095304
1987,23719,36000,155405,1370029,1296283
1988,28585,20400,51674,124571,1290171
1989,34810,36672,93208,859426,601039
1990,68207,114167,526611,1319810,785933
1991,78387,112332,901169,1774348,1190607
1992,58359,208034,1027697,3515448,2114365
1993,55124,363605,690645,688861,4672092
1994,43546,171702,930116,5787031,6965625
1995,78077,211343,876343,1530366,7645023
1996,88953,482314,846948,2009727,12041241
1997,68783,352567,619892,2447974,9931592
1998,38296,237127,872816,2235834,11559308
1999,50770,135446,1075022,4087903,11393715
2000,96432,259611,624916,438750,12689973
2001,111805,392135,999619,2346847,5643197
2002,94159,120106,1446712,1924064,5615259
2003,88166,118894,884519,929740,8963620
2004,124643,557456,726358,1464011,8096243
2005,80465,240140,733530,1582244,4664919
2006,57575,378940,565156,528023,12409239
2007,86319,188560,598084,1218852,7803377
2008,100042,114097,781051,173914,8090814
2009,85654,137067,737684,1318308,8808558
2010,73943,91202,959848,1198717,7792532
2011,102898,173898,871947,1339987,8687074
2012,72677,218926,710674,340783,10760144
2013,95570,179181,1206772,2500909,10489177
2014,66158,216000,1356670,511684,5733451
2015,78641,131688,948000,527887,9145108
