Year,Chinook,Sockeye,Coho,Pink,Chum
1977,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA
1981,NA,NA,NA,663414,NA
1982,NA,NA,NA,190300,NA
1983,NA,NA,NA,130000,NA
1984,NA,2000,NA,335600,NA
1985,NA,1800,12000,3448000,121100
1986,75,26900,600,341500,70300
1987,105,17437,NA,1060000,3860
1988,70,244000,2400,605361,150976
1989,NA,800000,NA,6500000,NA
1990,NA,2291000,5000,539500,4100
1991,NA,2487200,9800,1397600,31700
1992,NA,1486686,5140,821900,3500
1993,NA,2529042,16016,12278700,34525
1994,NA,1890526,46784,2054663,5007
1995,NA,172040,50235,4513653,215311
1996,NA,510379,56850,974400,14200
1997,NA,408959,108940,1211128,11021
1998,NA,684331,149833,6272000,38000
1999,NA,839506,115900,4057000,140900
2000,NA,460098,133238,3659698,303783
2001,NA,411527,151732,13272127,216625
2002,NA,625581,209259,6696774,88724
2003,NA,799382,135049,6587893,466205
2004,NA,277331,138136,3962421,239610
2005,NA,215236,151729,13603742,91814
2006,NA,114902,168205,4158109,177548
2007,NA,207924,125781,7884867,220726
2008,NA,316430,120366,2118392,93025
2009,NA,246067,154562,8939565,100999
2010,NA,310589,113675,3238678,191284
2011,NA,491670,70335,2174871,320532
2012,NA,323637,48353,2968070,218740
2013,NA,462097,52732,11759018,97380
2014,NA,374571,230590,5776060,45582
2015,NA,303403,39340,4826278,43410
