BroodYearReturn,CopperSockeye,CoghillSockeye,EshamySockeye,TotalSockeye,PWSPink,CopperChinook,PWSChum
1961,1455173.01,35,,436562403,"6,651,118",,
1962,763023.2982,54522,,309029860.6,6048576,,
1963,627800.6418,63949,5142,284899129.4,3436427,,
1964,1181525.332,163132,275975,469647267.4,4122588,,
1965,1783279.8,77666,62486,530207161,3468600,,
1966,1487832.121,86158.26969,568,460432479.1,3608678,,
1967,869585.9647,153334.0734,9952,352095208.6,5233149,,
1968,839878.5879,137509.6349,83749,357748245.6,3789216,,
1969,917979.9297,91750.19136,32435,353953825.2,8423514,,
1970,504862.28,220868,11690,293004857,695963,,292211
1971,1087952.345,46728,6667,373790270,8535974,,684035
1972,1040520.423,218570,59976,409334085.6,1012903,,314560
1973,458859.4585,233690,34411,290912892.7,3322438,,1221109
1974,661026.3802,110824.7026,15946,303080217.6,1161051,,255444
1975,587735.2365,191530.4687,31355,307644942,5816401,,125505
1976,1169323.305,173530.8657,178061,449703835.1,3925083,,460923
1977,1868220.635,1251048.288,38453,777065185.6,17335503,,698076
1978,1474593.675,70303.4765,36904,461881031.3,14013916,,664098
1979,2054910.808,150406.907,39724,594529144,19568866,,385054
1980,1471160.207,473655.808,270623,588608604,16794317,31560.94856,489257
1981,1114222.514,496238.2592,30841,473781155.6,11567348,54616.96792,1878210
1982,1898723.267,612158.891,54208.40295,658538913.2,21201513,34766.70845,1578002
1983,961697.0092,106297.095,51112.19725,369342061.3,19938105,30849.06547,1354411
1984,1661253.934,203086.296,117133,541815447,5563957,21826.64102,1387897
1985,1109875.359,16597.68278,58138,382443009.4,13066944,21510.45392,1395877
1986,1928337.745,26917.98305,39946,544561146.6,1766936,67560.46639,1928631
1987,1736152.518,60053.11876,60196,516801128.4,4743750,27548.45428,1948729
1988,1751544.206,50494.77626,93876,524703797.5,12923662,72769.69093,1892008
1989,1977067.132,9410,70390,556894227.4,7544776,69641.0834,965671
1990,1678723.218,26127,58447,498180244.6,1405383,97679.96868,727874
1991,2909277.304,153809,23929.749,762924011.6,1542942,78719.23703,278785
1992,3169831.644,114128,24570.8944,807226908.7,4666639,92788.3278,271152
1993,2267769.774,67500.983,64449.06935,625464766.3,3934208,106430.3563,295340
1994,1873139.793,27941,54700.44025,536677047.7,4500085,79051.47892,341916
1995,1349676.514,317407,27850.75608,484507655,2588682,76293.20357,402326
1996,1902697.865,133377,65804,565896574,5274276,76990.74514,590562
1997,1574119.057,44736,64513,482194412.4,9405198,84461.23789,548232
1998,1898474.031,89490,91903,561494207.2,7389941,96482.08221,480629
1999,1592295.47,234831,40521,519050295,8854677,76599.87752,593087
2000,2297600.611,143849,51753,644161323.2,1264645,63817.57889,860702
2001,2217417.901,15616,50750,602277581.2,7344512,98778.10517,903342
2002,2883324.798,180332,62834,770818960.6,4939431,86651.52279,472901
2003,1269199.481,102397,20147,423869497.2,17032488,48143.16844,867191
2004,1207819.321,154110,53472,428601065.2,3314703,38721.76801,503590
2005,1275444.915,35754,41611,416082784,11526988,32648.04291,312367
2006,2417220.454,164495,62674,674398691.8,2290692,53243.20144,455159
2007,3016990.76,649042,27655,884258353,2824331,47436.50055,440009
2008,2265963.276,71784,,613070256.2,4399391,,427660
2009,2640105.488,120904,,697722698.6,9643099,,482920
2010,,21034,,149727601,4428268,,589913
,,,,,,,557528
,,,,,,,391106
,,,,,,,484216
,,,,,,,393748
